t_ms,raw,filtered
7166,1221148,1221083.500
7178,1221562,1221155.250
7190,1221116,1221149.375
7203,1220694,1221081.125
7215,1221358,1221122.750
7227,1221561,1221188.500
7240,1221009,1221161.625
7252,1220613,1221079.375
7264,1221463,1221137.000
7277,1221515,1221193.750
7289,1220971,1221160.375
7301,1220792,1221105.125
7314,1221658,1221188.125
7326,1221296,1221204.375
7338,1220836,1221149.125
7351,1220937,1221117.375
7363,1221705,1221205.625
7375,1221302,1221220.125
7388,1220865,1221166.875
7400,1221013,1221143.875
7412,1221627,1221216.375
7425,1221187,1221212.000
7437,1220658,1221129.000
7449,1221223,1221143.125
7462,1221691,1221225.375
7474,1221165,1221216.375
7486,1220722,1221142.250
7499,1221243,1221157.375
7511,1221536,1221214.250
7523,1220987,1221180.125
7536,1220493,1221077.125
7548,1221306,1221111.500
7560,1221504,1221170.375
7573,1220783,1221112.375
7585,1220530,1221025.125
7597,1221471,1221092.000
7610,1221333,1221128.250
7622,1220847,1221086.125
7634,1220650,1221020.750
7647,1221443,1221084.125
7659,1221250,1221109.125
7671,1220630,1221037.375
7684,1220644,1220978.375
7696,1221535,1221061.875
7709,1221146,1221074.500
7721,1220633,1221008.375
7733,1220859,1220986.000
7746,1221482,1221060.375
7758,1221083,1221063.875
7770,1220637,1220999.875
7783,1221004,1221000.500
7795,1221436,1221065.875
7807,1221002,1221056.250
7820,1220577,1220984.375
7832,1221272,1221027.500
7844,1221571,1221109.000
7857,1221069,1221103.000
7869,1220609,1221028.875
7881,1221293,1221068.500
7894,1221385,1221116.000
7906,1220782,1221065.875
7918,1220415,1220968.250
7931,1221254,1221011.125
7943,1221275,1221050.750
7955,1220753,1221006.125
7968,1220551,1220937.875
7980,1221303,1220992.750
7992,1221042,1221000.125
8005,1220680,1220952.125
8017,1220748,1220921.500
8029,1221572,1221019.125
8042,1221185,1221044.125
8054,1220623,1220981.000
8066,1220858,1220962.625
8079,1221530,1221047.750
8091,1221010,1221042.125
8103,1220447,1220952.875
8116,1220957,1220953.500
8128,1221488,1221033.750
8140,1221004,1221029.250
8153,1220515,1220952.125
8165,1221145,1220981.125
8177,1221317,1221031.500
8190,1220832,1221001.625
8202,1220445,1220918.250
8214,1221257,1220969.125
8227,1221366,1221028.750
8239,1220760,1220988.500
8251,1220512,1220917.000
8264,1221223,1220963.000
8276,1220964,1220963.125
8288,1220473,1220889.625
8301,1220508,1220832.375
8313,1221397,1220917.125
8325,1221039,1220935.375
8338,1220564,1220879.750
8350,1220651,1220845.500
8362,1221525,1220947.500
8375,1221176,1220981.750
8387,1220620,1220927.500
8399,1220837,1220913.875
8412,1221469,1220997.125
8424,1220971,1220993.250
8436,1220443,1220910.750
8449,1220970,1220919.750
8461,1221389,1220990.125
8473,1220882,1220973.875
8486,1220502,1220903.125
8498,1220999,1220917.500
8510,1221309,1220976.250
8523,1220846,1220956.750
